That was the most arrogant and {{c1::mendacious}} minute of world history.	<b>Intention:</b> Condemn something as false by its very nature — heavier and more moral than 'untrue'; you reach for it to accuse, not just to describe.<br><b>Image:</b> A mouth that keeps producing cracked, counterfeit words.<br><b>Synonyms:</b> deceitful, untruthful, lying, false	nietzsche-truth-lies c2 vocab
The intellect was certainly allotted to these most unfortunate, delicate and {{c1::ephemeral}} beings.	<b>Intention:</b> Stress that something lasts only a brief moment, with an elevated / poetic tone.<br><b>Image:</b> A mayfly that lives a single day; a soap bubble.<br><b>Synonyms:</b> fleeting, short-lived, transient, momentary<br><i>ephemeral = poetic, lasts very briefly; transient = neutral, simply passing.</i>	nietzsche-truth-lies c2 vocab
How miserable, how shadowy and {{c1::transient}}, how aimless and arbitrary the human intellect looks within nature.	<b>Intention:</b> Mark something as passing / temporary in a neutral-to-formal register; common in academic prose.<br><b>Image:</b> A passenger who gets off at the very next stop.<br><b>Synonyms:</b> temporary, passing, fleeting, momentary	nietzsche-truth-lies c2 vocab
We separate things according to gender... what {{c1::arbitrary}} assignments.	<b>Intention:</b> Criticise a choice or rule as based on whim rather than reason — a key word for argument and critique.<br><b>Image:</b> A coin flip deciding a law.<br><b>Synonyms:</b> random, capricious, unjustified, whimsical	nietzsche-truth-lies c2 vocab
There is nothing so {{c1::reprehensible}} and unimportant in nature that it would not immediately swell up like a balloon.	<b>Intention:</b> Morally condemn — 'deserving of blame'. Strong, formal censure.<br><b>Image:</b> A stern finger pointing in judgment.<br><b>Synonyms:</b> blameworthy, deplorable, disgraceful, shameful	nietzsche-truth-lies c2 vocab
As a means for the preserving of the individual, the intellect unfolds its principal powers in {{c1::dissimulation}}.	<b>Intention:</b> Name the act of hiding your true feelings or intentions behind a false surface — a precise, literary word.<br><b>Image:</b> A calm mask held over a panicking face.<br><b>Synonyms:</b> pretence, concealment, dissembling, feigning	nietzsche-truth-lies c2 vocab
This pride contains within itself the most {{c1::flattering}} estimation of the value of knowing.	<b>Intention:</b> Describe praise that inflates someone's self-image, often insincere or self-serving.<br><b>Image:</b> A mirror that quietly makes you look taller.<br><b>Synonyms:</b> complimentary, gratifying, fawning, ingratiating	nietzsche-truth-lies c2 vocab
Man is sustained by that which is pitiless, greedy, {{c1::insatiable}} and murderous.	<b>Intention:</b> Stress a hunger or desire that can never be satisfied — intense, formal.<br><b>Image:</b> A pit that swallows everything and is never full.<br><b>Synonyms:</b> unquenchable, voracious, ravenous, unappeasable	nietzsche-truth-lies c2 vocab
Man is sustained by that which is {{c1::pitiless}}, greedy, insatiable and murderous.	<b>Intention:</b> Describe something utterly without mercy — colder and stronger than 'cruel'.<br><b>Image:</b> A machine that crushes without ever pausing.<br><b>Synonyms:</b> merciless, ruthless, relentless, remorseless	nietzsche-truth-lies c2 vocab
What men avoid by excluding the liar is not so much being {{c1::defrauded}} as it is being harmed by means of fraud.	<b>Intention:</b> Accuse of cheating someone (esp. of money or rights) through deception — legal / formal.<br><b>Image:</b> A contract with clauses written in invisible ink.<br><b>Synonyms:</b> swindled, cheated, deceived, duped	nietzsche-truth-lies c2 vocab
A uniformly valid and binding {{c1::designation}} is invented for things.	<b>Intention:</b> Refer formally to the act or result of naming / labelling something — academic register.<br><b>Image:</b> A label gun tagging every object in the room.<br><b>Synonyms:</b> label, name, term, denotation	nietzsche-truth-lies c2 vocab
If he will not be satisfied with truth in the form of {{c1::tautology}}, then he will always exchange truths for illusions.	<b>Intention:</b> Name a statement that merely repeats itself and says nothing new — useful in argument and criticism.<br><b>Image:</b> A dog chasing its own tail.<br><b>Synonyms:</b> redundancy, circular statement, pleonasm	nietzsche-truth-lies c2 vocab
A sum of human relations which have been poetically and rhetorically intensified, transferred and {{c1::embellished}}.	<b>Intention:</b> Say something has been decorated or dressed up — often implying added but unreal detail. Great for writing about style.<br><b>Image:</b> A plain cake buried under ornate icing.<br><b>Synonyms:</b> adorned, decorated, ornamented, dressed up	nietzsche-truth-lies c2 vocab
After long usage they seem to a people to be fixed, {{c1::canonical}} and binding.	<b>Intention:</b> Mark something as officially accepted / authoritative — academic.<br><b>Image:</b> Rules carved into stone tablets.<br><b>Synonyms:</b> authoritative, official, established, orthodox	nietzsche-truth-lies c2 vocab
The great {{c1::edifice}} of concepts displays the rigid regularity of a Roman columbarium.	<b>Intention:</b> A large, impressive structure — literal, or (very usefully) a metaphor for a whole system of ideas in an essay.<br><b>Image:</b> A vast cathedral built entirely of glass.<br><b>Synonyms:</b> structure, construction, building, framework	nietzsche-truth-lies c2 vocab
That framework of concepts is nothing but a scaffolding and toy for the most {{c1::audacious}} feats of the liberated intellect.	<b>Intention:</b> Note boldness that borders on reckless daring — can be admiring or critical.<br><b>Image:</b> A tightrope walker, no net, grinning.<br><b>Synonyms:</b> bold, daring, fearless, brazen	nietzsche-truth-lies c2 vocab
It continually manifests an {{c1::ardent}} desire to refashion the world.	<b>Intention:</b> Describe intense, passionate feeling — warmer and more literary than 'eager'.<br><b>Image:</b> A fire burning steadily in the chest.<br><b>Synonyms:</b> passionate, fervent, intense, eager	nietzsche-truth-lies c2 vocab
The one stands in fear of intuition, the other with {{c1::scorn}} for abstraction.	<b>Intention:</b> Express strong contempt — looking down on something as worthless.<br><b>Image:</b> A curled lip turning away.<br><b>Synonyms:</b> contempt, disdain, derision, mockery	nietzsche-truth-lies c2 vocab
The former rules over life by knowing how to meet his needs by means of foresight, {{c1::prudence}} and regularity.	<b>Intention:</b> Name careful, sensible judgment that avoids risk — a virtue word, formal.<br><b>Image:</b> Someone checking the weather before every single step.<br><b>Synonyms:</b> caution, discretion, good sense, circumspection	nietzsche-truth-lies c2 vocab
He seeks nothing but sincerity, truth, freedom from deception and protection against {{c1::ensnaring}} surprise attacks.	<b>Intention:</b> Describe trapping someone, often by trickery — literary.<br><b>Image:</b> A net hidden under a layer of leaves.<br><b>Synonyms:</b> entrapping, snaring, catching, entangling	nietzsche-truth-lies c2 vocab
Nature confines and locks him within a proud, deceptive consciousness, {{c1::aloof}} from the coils of the bowels.	<b>Intention:</b> Describe being distant or detached — physically or emotionally apart, with a touch of superiority.<br><b>Image:</b> A cat watching everything from a high shelf.<br><b>Synonyms:</b> distant, detached, remote, standoffish	nietzsche-truth-lies c2 vocab
A mythically inspired people resembles a dream more than it does the waking world of a scientifically {{c1::disenchanted}} thinker.	<b>Intention:</b> Loss of illusion or magic — freed from belief but also a little deflated. Useful for tone.<br><b>Image:</b> A magician revealed to be working hidden strings.<br><b>Synonyms:</b> disillusioned, jaded, undeceived	nietzsche-truth-lies c2 vocab
Only by forgetting this primitive world of metaphor can one live with any {{c1::repose}}, security and consistency.	<b>Intention:</b> A formal / literary word for calm rest or peace of mind.<br><b>Image:</b> A still lake at dawn.<br><b>Synonyms:</b> calm, tranquillity, rest, serenity	nietzsche-truth-lies c2 vocab
After nature had drawn a few breaths the star cooled and {{c1::congealed}}.	<b>Intention:</b> Describe a liquid turning solid or thick — vivid, and a strong metaphor for ideas hardening.<br><b>Image:</b> Warm gravy slowly turning to jelly.<br><b>Synonyms:</b> solidified, set, coagulated, hardened	nietzsche-truth-lies c2 vocab
